Margin,Total,ID,index,County Name,County Code,Precinct name,Precinct Code,2022 Congressional,2020 Congressional,Legislative,McClellan - GLC,Reisdorf - LMN,Finstad - R,Ettinger - DFL,Write In
0,,220085,138,Faribault,22,FROST,0085,1,1,23A,,,,,
0,,220090,139,Faribault,22,JO DAVIESS TWP.,0090,1,1,22A,,,,,
0,,220095,140,Faribault,22,KIESTER,0095,1,1,23A,,,,,
0,,220100,141,Faribault,22,KIESTER TWP.,0100,1,1,23A,,,,,
0,,220105,142,Faribault,22,LURA TWP.,0105,1,1,23A,,,,,
0,,220110,143,Faribault,22,MINNESOTA LAKE,0110,1,1,23A,,,,,
0,,220115,144,Faribault,22,MINNESOTA LAKE TWP.,0115,1,1,23A,,,,,
0,,220120,145,Faribault,22,PILOT GROVE TWP.,0120,1,1,22A,,,,,
0,,220125,146,Faribault,22,PRESCOTT TWP.,0125,1,1,22A,,,,,
0,,220130,147,Faribault,22,ROME TWP.,0130,1,1,23A,,,,,
0,,220135,148,Faribault,22,SEELY TWP.,0135,1,1,23A,,,,,
0,,220140,149,Faribault,22,VERONA TWP.,0140,1,1,22A,,,,,
0,,220145,150,Faribault,22,WALNUT LAKE TWP.,0145,1,1,23A,,,,,
0,,220150,151,Faribault,22,WALTERS,0150,1,1,23A,,,,,
0,,220155,152,Faribault,22,WELLS,0155,1,1,23A,,,,,
0,,220160,153,Faribault,22,WINNEBAGO,0160,1,1,22A,,,,,
0,,220165,154,Faribault,22,WINNEBAGO TWP.,0165,1,1,22A,,,,,
0,,230005,155,Fillmore,23,AMHERST TWP.,0005,1,1,26B,,,,,
0,,230010,156,Fillmore,23,ARENDAHL TWP.,0010,1,1,26B,,,,,
0,,230015,157,Fillmore,23,BEAVER TWP.,0015,1,1,26B,,,,,
0,,230020,158,Fillmore,23,BLOOMFIELD TWP.,0020,1,1,26B,,,,,
0,,230025,159,Fillmore,23,BRISTOL TWP.,0025,1,1,26B,,,,,
0,,230030,160,Fillmore,23,CANTON,0030,1,1,26B,,,,,
0,,230035,161,Fillmore,23,CANTON TWP.,0035,1,1,26B,,,,,
0,,230040,162,Fillmore,23,CARIMONA TWP.,0040,1,1,26B,,,,,
0,,230045,163,Fillmore,23,CARROLTON TWP.,0045,1,1,26B,,,,,
0,,230050,164,Fillmore,23,CHATFIELD,0050,1,1,26B,,,,,
0,,230055,165,Fillmore,23,CHATFIELD TWP.,0055,1,1,26B,,,,,
0,,230060,166,Fillmore,23,FILLMORE TWP.,0060,1,1,26B,,,,,
0,,230065,167,Fillmore,23,FORESTVILLE TWP.,0065,1,1,26B,,,,,
0,,230070,168,Fillmore,23,FOUNTAIN,0070,1,1,26B,,,,,
0,,230075,169,Fillmore,23,FOUNTAIN TWP.,0075,1,1,26B,,,,,
0,,230080,170,Fillmore,23,HARMONY,0080,1,1,26B,,,,,
0,,230085,171,Fillmore,23,HARMONY TWP.,0085,1,1,26B,,,,,
0,,230090,172,Fillmore,23,HOLT TWP.,0090,1,1,26B,,,,,
0,,230095,173,Fillmore,23,JORDAN TWP.,0095,1,1,26B,,,,,
0,,230100,174,Fillmore,23,LANESBORO,0100,1,1,26B,,,,,
0,,230105,175,Fillmore,23,MABEL,0105,1,1,26B,,,,,
0,,230110,176,Fillmore,23,NEWBURG TWP.,0110,1,1,26B,,,,,
0,,230115,177,Fillmore,23,NORWAY TWP.,0115,1,1,26B,,,,,
0,,230120,178,Fillmore,23,OSTRANDER,0120,1,1,26B,,,,,
0,,230125,179,Fillmore,23,PETERSON,0125,1,1,26B,,,,,
0,,230130,180,Fillmore,23,PILOT MOUND TWP.,0130,1,1,26B,,,,,
0,,230135,181,Fillmore,23,PREBLE TWP.,0135,1,1,26B,,,,,
0,,230140,182,Fillmore,23,PRESTON,0140,1,1,26B,,,,,
0,,230150,183,Fillmore,23,PRESTON TWP.,0150,1,1,26B,,,,,
0,,230155,184,Fillmore,23,RUSHFORD,0155,1,1,26B,,,,,
0,,230160,185,Fillmore,23,RUSHFORD VILLAGE,0160,1,1,26B,,,,,
0,,230165,186,Fillmore,23,SPRING VALLEY,0165,1,1,26B,,,,,
0,,230175,187,Fillmore,23,SPRING VALLEY TWP.,0175,1,1,26B,,,,,
0,,230180,188,Fillmore,23,SUMNER TWP.,0180,1,1,26B,,,,,
0,,230185,189,Fillmore,23,WHALAN,0185,1,1,26B,,,,,
0,,230190,190,Fillmore,23,WYKOFF,0190,1,1,26B,,,,,
0,,230195,191,Fillmore,23,YORK TWP.,0195,1,1,26B,,,,,
0,,240005,192,Freeborn,24,ALBERT LEA W-1 P-1,0005,1,1,23A,,,,,
0,,240015,193,Freeborn,24,ALBERT LEA W-2 P-1,0015,1,1,23A,,,,,
0,,240025,194,Freeborn,24,ALBERT LEA W-3 P-1,0025,1,1,23A,,,,,
0,,240035,195,Freeborn,24,ALBERT LEA W-4 P-1,0035,1,1,23A,,,,,
0,,240045,196,Freeborn,24,ALBERT LEA W-5 P-1,0045,1,1,23A,,,,,
0,,240050,197,Freeborn,24,ALBERT LEA W-6 P-1,0050,1,1,23A,,,,,
0,,240060,198,Freeborn,24,ALBERT LEA TWP. P-1,0060,1,1,23A,,,,,
0,,240061,199,Freeborn,24,ALBERT LEA TWP. P-2,0061,1,1,23A,,,,,
0,,240062,200,Freeborn,24,ALBERT LEA TWP. P-3,0062,1,1,23A,,,,,
0,,240063,201,Freeborn,24,ALBERT LEA TWP. P-4,0063,1,1,23A,,,,,
0,,240065,202,Freeborn,24,ALDEN,0065,1,1,23A,,,,,
0,,240070,203,Freeborn,24,ALDEN TWP.,0070,1,1,23A,,,,,
0,,240075,204,Freeborn,24,BANCROFT TWP. P-1,0075,1,1,23A,,,,,
0,,240077,205,Freeborn,24,BANCROFT TWP. P-2,0077,1,1,23A,,,,,
